Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
S.MUSE.2023-01-13T02:50:57.323.fits,ESO120-016,87.9032,-59.05278,2022-12-24 02:36:39,MUSE.2022-12-24T02:36:39.512,580.0,WFM-NOAO-N,0.57 [0.04],1.29,474.999..934.999,3026.70849609375
S.MUSE.2023-01-13T04:31:27.493.fits,J0133+1342,23.469,13.70279,2022-12-23 01:25:23,MUSE.2022-12-23T01:25:23.214,707.0,WFM-NOAO-E,1.01 [0.14],1.36,459.958..934.958,2988.74291992188
S.MUSE.2023-05-10T13:34:26.706.fits,NGC5775,223.499939,3.52536,2023-04-19 07:58:49,MUSE.2023-04-19T07:58:49.345,563.0,WFM-NOAO-N,0.84 [0.09],1.35,475.009..935.009,3026.76196289062
S.MUSE.2023-05-12T05:04:55.490.fits,V X Ser,244.823658,-2.49201,2023-04-25 08:29:01,MUSE.2023-04-25T08:29:01.332,600.0,WFM-NOAO-N,1.70 [0.14],1.19,475.022..935.022,3026.82568359375
S.MUSE.2023-06-01T21:29:12.940.fits,Lens38,166.997973,4.15656,2023-05-17 02:26:50,MUSE.2023-05-17T02:26:50.958,700.0,WFM-NOAO-N,0.88 [0.01],1.37,474.956..934.956,3026.49633789062
S.MUSE.2023-06-06T12:46:34.636.fits,GAMAJ143215.06-013636.4,218.063788,-1.60693,2023-05-23 04:17:36,MUSE.2023-05-23T04:17:36.430,1320.0,WFM-AO-N,0.41 [0.06],1.13,469.981..934.981,3014.033203125
S.MUSE.2023-07-07T03:13:57.433.fits,FRB190520,240.516101,-11.2875,2023-06-14 05:05:13,MUSE.2023-06-14T05:05:13.328,600.0,WFM-AO-N,0.85 [0.05],1.14,469.983..934.983,3014.0439453125
S.MUSE.2023-08-08T09:30:06.866.fits,Lens62,340.230973,-0.01225,2023-07-12 09:09:12,MUSE.2023-07-12T09:09:12.142,700.0,WFM-NOAO-N,1.35 [0.07],1.15,475.036..935.161,3027.2119140625
S.MUSE.2023-08-09T10:53:24.340.fits,Lens66,345.071616,22.22461,2023-07-16 06:51:34,MUSE.2023-07-16T06:51:34.845,700.0,WFM-NOAO-N,0.50 [0.06],1.57,475.036..935.161,3027.21337890625
S.MUSE.2023-08-23T12:41:45.860.fits,SN 2002ao,217.404445,-0.01833,2023-08-07 23:25:04,MUSE.2023-08-07T23:25:04.819,701.0,WFM-NOAO-N,0.47 [0.03],1.16,474.955..934.955,3026.49072265625
S.MUSE.2023-09-25T15:44:51.150.fits,UGC 1382,28.656729,-0.10342,2023-09-14 06:34:54,MUSE.2023-09-14T06:34:54.304,120.0,WFM-AO-N,0.90 [0.03],1.11,470.026..935.026,3014.25732421875
S.MUSE.2023-10-23T09:36:29.570.fits,UGC01817,35.380398,14.18611,2023-10-14 04:12:08,MUSE.2023-10-14T04:12:08.735,580.0,WFM-NOAO-N,0.41 [0.04],1.39,475.013..935.013,3026.78100585938
S.MUSE.2023-12-21T12:17:03.506.fits,NGC1032,39.831427,1.08977,2023-12-11 04:59:24,MUSE.2023-12-11T04:59:24.197,580.0,WFM-NOAO-N,0.51 [0.06],1.54,474.969..934.969,3026.56127929688
S.MUSE.2024-01-23T11:38:32.910.fits,J0842p1218,130.620491,12.31255,2024-01-02 07:52:34,MUSE.2024-01-02T07:52:34.408,1465.0,WFM-NOAO-N,0.46 [0.04],1.32,475.023..935.023,3026.82958984375
S.MUSE.2024-02-08T15:39:34.410.fits,2018imj,102.776902,12.92266,2024-01-29 05:00:18,MUSE.2024-01-29T05:00:18.782,601.0,WFM-NOAO-N,0.48 [0.02],1.47,474.980..934.980,3026.61303710938
