Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
S.MUSE.2016-10-07T12:19:03.896.fits,A370,39.970193,-1.56941,2016-08-02 09:07:37,MUSE.2016-08-02T09:07:37.701,962.0,WFM-NOAO-N,0.33 [0.01],1.17,475.043..935.168,3027.25170898438
S.MUSE.2016-10-12T21:07:18.440.fits,IC 214,33.522671,5.17662,2016-08-14 09:24:00,MUSE.2016-08-14T09:24:00.263,760.0,WFM-NOAO-N,0.62 [0.03],1.15,475.043..935.168,3027.24755859375
S.MUSE.2016-10-13T17:34:36.490.fits,NGC6778,289.603665,-1.59616,2016-07-07 04:48:45,MUSE.2016-07-07T04:48:45.581,450.0,WFM-NOAO-E,0.83 [0.07],1.09,460.003..935.128,2989.28784179688
S.MUSE.2016-10-18T14:48:00.190.fits,JW29,194.456,-17.66619,2016-07-30 00:25:15,MUSE.2016-07-30T00:25:15.713,675.0,WFM-NOAO-N,0.39 [0.03],1.44,474.956..934.956,3026.49609375
S.MUSE.2016-11-08T13:32:54.533.fits,JO175,312.825159,-52.82326,2016-08-31 04:05:25,MUSE.2016-08-31T04:05:25.873,675.0,WFM-NOAO-N,0.54 [0.03],1.17,474.975..934.975,3026.59106445312
S.MUSE.2017-01-30T15:24:04.800.fits,NGC3501,165.68625,17.96972,2017-01-01 08:12:07,MUSE.2017-01-01T08:12:07.489,560.0,WFM-NOAO-N,,1.39,475.039..935.164,3027.23095703125
S.MUSE.2017-07-27T13:09:40.936.fits,SDSS J124957.23-015928.8,192.488319,-1.99133,2017-06-20 01:57:28,MUSE.2017-06-20T01:57:28.113,965.0,WFM-NOAO-E,0.89 [0.06],1.31,459.956..934.956,2988.73486328125
S.MUSE.2017-07-27T18:20:35.733.fits,Shass-421015419-SE,198.539896,-33.77513,2017-06-22 23:46:16,MUSE.2017-06-22T23:46:16.112,1016.0,WFM-NOAO-N,1.05 [0.12],1.01,474.962..934.962,3026.52709960938
S.MUSE.2017-11-09T16:08:16.403.fits,Abell2895,19.545862,-26.96928,2017-09-18 04:44:18,MUSE.2017-09-18T04:44:18.041,800.0,WFM-AO-N,,1.06,470.006..935.006,3014.1611328125
S.MUSE.2017-11-21T17:22:49.106.fits,SDSSJ0103p1332,15.883536,13.54389,2017-10-23 03:33:58,MUSE.2017-10-23T03:33:58.860,1000.0,WFM-AO-N,0.88 [0.09],1.27,469.990..934.990,3014.08276367188
S.MUSE.2017-11-22T09:29:12.696.fits,FCC277,55.599295,-35.15622,2017-10-26 08:23:05,MUSE.2017-10-26T08:23:05.892,720.0,WFM-NOAO-E,0.65 [0.06],1.17,460.002..935.002,2988.9697265625
S.MUSE.2018-01-09T16:51:57.110.fits,HATLASJ084630,131.626738,0.84741,2017-12-26 07:10:46,MUSE.2017-12-26T07:10:46.413,1000.0,WFM-NOAO-N,0.62 [0.05],1.11,475.028..935.028,3026.85986328125
S.MUSE.2018-01-10T11:05:24.510.fits,P4946,154.6284,0.08481,2017-12-15 07:27:58,MUSE.2017-12-15T07:27:58.275,675.0,WFM-NOAO-N,0.71 [0.10],1.26,475.044..935.169,3027.2548828125
S.MUSE.2018-03-02T15:59:14.486.fits,SDSSJ093749,144.457819,6.94709,2018-02-15 02:55:09,MUSE.2018-02-15T02:55:09.561,1400.0,WFM-AO-N,0.99 [0.23],1.32,469.998..934.998,3014.12158203125
S.MUSE.2018-04-21T03:04:37.583.fits,SDSSJ093749,144.457441,6.94727,2018-04-15 00:54:05,MUSE.2018-04-15T00:54:05.918,1400.0,WFM-AO-N,1.03 [0.11],1.17,469.959..934.959,3013.9267578125
S.MUSE.2018-04-27T15:21:39.616.fits,LeoT,143.723409,17.05159,2018-04-16 23:57:13,MUSE.2018-04-16T23:57:13.116,900.0,WFM-AO-N,0.88 [0.08],1.36,469.957..934.957,3013.9140625
S.MUSE.2018-05-29T17:30:57.946.fits,SDSSJ 1403+0628,210.946639,6.47111,2018-05-15 04:29:51,MUSE.2018-05-15T04:29:51.677,650.0,WFM-NOAO-E,0.81 [0.03],1.23,459.980..934.980,2988.85546875
S.MUSE.2018-08-02T14:57:17.173.fits,4C+03.24,191.41,3.38833,2017-06-17 23:58:45,MUSE.2017-06-17T23:58:45.112,1500.0,WFM-AO-N,0.64 [0.06],1.13,469.955..934.955,3013.90307617188
S.MUSE.2018-08-08T17:26:41.203.fits,NGC5291N,206.833208,-30.34961,2017-06-19 00:58:19,MUSE.2017-06-19T00:58:19.113,600.0,WFM-AO-E,0.73 [0.05],1.01,459.966..934.966,2988.78491210938
S.MUSE.2018-10-17T17:21:15.343.fits,SN2017dhu,79.133362,6.46314,2018-08-31 08:54:14,MUSE.2018-08-31T08:54:14.210,701.0,WFM-NOAO-E,0.80 [0.09],1.48,460.042..935.167,2989.48120117188
S.MUSE.2018-10-29T22:39:58.333.fits,J2305-0034,346.278776,-0.58206,2018-10-09 01:23:22,MUSE.2018-10-09T01:23:22.187,900.0,WFM-AO-N,1.27 [0.11],1.16,469.976..934.976,3014.01123046875
S.MUSE.2018-11-12T14:47:07.310.fits,SDSS J020944.61+051713.6,32.435917,5.28728,2018-11-04 04:47:44,MUSE.2018-11-04T04:47:44.557,965.0,WFM-NOAO-E,0.56 [0.03],1.18,459.991..934.991,2988.91259765625
S.MUSE.2019-01-17T15:49:16.776.fits,GP07,45.839082,-7.98972,2018-11-17 06:18:49,MUSE.2018-11-17T06:18:49.446,700.0,WFM-NOAO-N,0.55 [0.07],1.25,474.989..934.989,3026.66040039062
S.MUSE.2019-01-30T16:33:45.066.fits,3C 180,111.769875,-2.07527,2018-12-03 07:59:19,MUSE.2018-12-03T07:59:19.204,600.0,WFM-NOAO-N,1.37 [0.16],1.1,475.029..935.029,3026.86352539062
S.MUSE.2019-01-30T20:48:57.716.fits,SDSS J074749.17+115352.4,116.957241,11.89742,2018-12-06 06:52:48,MUSE.2018-12-06T06:52:48.444,879.0,WFM-AO-N,0.49 [0.05],1.26,470.031..935.031,3014.28540039062
S.MUSE.2019-01-31T03:18:55.446.fits,COSMOS-GR84-north,150.059404,2.61293,2018-12-11 07:12:07,MUSE.2018-12-11T07:12:07.751,600.0,WFM-AO-N,0.50 [0.04],1.34,470.043..935.168,3014.66455078125
S.MUSE.2019-03-05T01:04:11.366.fits,LSQ13ry,158.199807,4.1965,2019-02-22 06:03:51,MUSE.2019-02-22T06:03:51.111,702.0,WFM-NOAO-N,0.51 [0.05],1.18,475.004..935.004,3026.73876953125
S.MUSE.2019-05-30T07:58:30.533.fits,J0759+0605,119.958466,6.09684,2019-04-07 00:17:40,MUSE.2019-04-07T00:17:40.757,900.0,WFM-AO-N,1.07 [0.06],1.18,469.955..934.955,3013.90698242188
