Spectrum File Name,EXT:p,EXT:o3,EXT:tau,EXT:ang,r-i,i-z,r-z
ADP.2016-06-14T11:41:44.790/sat_1.npy,9047.805271526891,257.0000000025672,0.466492669867623,1.5115759351049696,0.5380343384686697,0.3197214910083019,0.8577558294769716
ADP.2016-06-14T18:12:18.664/sat_1.npy,5921.844661116043,257.0000355604752,0.0009134764823092,2.999999995300453,0.3627328389054867,0.1066136659877656,0.4693465048932523
ADP.2016-06-21T07:32:38.505/sat_1.npy,9937.828361425714,257.01640416485645,0.1683064948369114,1.393010920967593,0.5073840810118142,0.24807856739924,0.7554626484110543
ADP.2016-08-17T08:39:02.787/sat_1.npy,1291.534004189474,257.00005447520806,6.585282893179642e-05,1.839085405353478e-09,0.2541594508339031,0.1231567025448114,0.3773161533787146
ADP.2018-03-08T19:46:26.983/sat_3.npy,1352.2157366676247,257.00003556080554,6.585303427490058e-05,2.0393260520085383e-09,0.2800317825373852,0.1739235811889301,0.4539553637263154
ADP.2018-03-14T13:08:22.142/sat_1.npy,8721.7808032411,479.6069622240304,6.626063360166951e-05,2.584131711412626e-05,0.4672888664272605,0.1775371616598491,0.6448260280871096
ADP.2019-06-18T16:48:16.133/sat_1.npy,3173.619762992057,2177.1430034922587,6.61069103950891e-05,4.2409984418485896e-05,0.4056314689815181,0.0723660171042865,0.4779974860858047
ADP.2020-12-23T11:08:13.167/sat_2.npy,807.743984445447,257.00003556080554,5.815437493219135e-05,2.0393260520085383e-09,0.1590671153573239,0.0571104613077082,0.2161775766650322
ADP.2021-01-23T09:52:41.198/sat_1.npy,9999.661112247146,4368.256402376241,0.0001739203281704,2.999999996448269,0.6704769646811712,0.2596176545493165,0.9300946192304878
ADP.2022-07-14T15:54:47.933/sat_1.npy,6044.983854667176,257.0000358394088,0.0016394323920294,1.4748301744594516,0.3585687990424659,0.0641853607922868,0.4227541598347528
ADP.2023-09-19T13:20:16.225/sat_1.npy,1864.475441514664,2668.776284800414,1.781216230410631e-06,7.1205222855425865e-06,0.3592266073028938,0.0614476963584849,0.4206743036613787
S.MUSE.2016-04-06T11:15:14.393/sat_1.npy,9963.044720651204,9999.99771351497,0.9695543941831648,2.4007733783730725,2.472261258173482,0.9710638527777462,3.4433251109512284
S.MUSE.2016-04-06T15:58:58.993/sat_1.npy,1611.677750812548,257.00005610045883,0.0007604963049373,2.999999995937879,0.2554751309345775,0.0390756315346934,0.2945507624692709
S.MUSE.2016-04-07T15:02:14.253/sat_1.npy,98.64659657952556,257.0000353871581,0.0001027834316722,0.0061527200152697,0.1732670365840434,0.0888694265537424,0.2621364631377858
S.MUSE.2016-04-17T08:04:40.733/sat_1.npy,9623.234778290322,257.00390443337614,0.9999999999824436,2.066499641214992,0.4980804180451095,0.3619673261886191,0.8600477442337287
S.MUSE.2016-04-22T13:05:55.193/sat_1.npy,9989.456752498249,326.4713942102594,0.182293419471413,1.403519503250445,0.5604447314017449,0.2206371404698046,0.7810818718715495
S.MUSE.2016-04-26T16:01:15.203/sat_1.npy,9954.667769185628,257.0000013173215,0.1974203725250231,1.2792003155105,0.4865710433512795,0.2610722094119992,0.7476432527632788
S.MUSE.2016-05-17T14:34:25.766/sat_1.npy,9946.78857611655,457.5581661546135,0.1649965521027223,1.442060041252455,0.501214822196701,0.2622234455117862,0.7634382677084872
S.MUSE.2016-05-18T12:01:29.403/sat_1.npy,6804.690081488011,969.421329316015,6.610295918199315e-05,8.697756085362008e-07,0.4480244247938145,0.1752149929703748,0.6232394177641893
S.MUSE.2016-06-14T13:44:38.243/sat_1.npy,3545.900655281905,257.0000426656588,0.000625209120499,2.999999996919461,0.2944407704603833,0.1363391204985333,0.4307798909589166
S.MUSE.2016-06-15T13:35:57.970/sat_1.npy,9718.275869500669,257.0069735951509,0.999959348395364,2.182340938172837,0.9724869606235912,0.5809881600932698,1.5534751207168611
S.MUSE.2016-06-21T17:30:41.233/sat_1.npy,1753.505935378178,257.0000557128279,6.585228661003771e-05,1.924411588653666e-09,0.2696369722519165,0.1058862282274262,0.3755232004793427
S.MUSE.2016-07-01T20:52:56.573/sat_1.npy,9842.395956241236,257.0000355604752,0.0011004196920344,2.9999999955879213,0.4674125681759591,0.2029888925533356,0.6704014607292947
S.MUSE.2016-08-01T16:06:05.486/sat_1.npy,3611.8229992415945,1089.2788171271004,8.293562262856819e-05,0.0028568197967873,0.4210100978610924,0.1790716107251029,0.6000817085861954
S.MUSE.2016-08-05T10:31:25.200/sat_1.npy,533.9065398934291,257.00003556037944,0.0014770062729889,1.5091498473682865e-05,0.1180653099305502,-0.0128778468099497,0.1051874631206004
S.MUSE.2016-08-12T07:37:02.606/sat_1.npy,9710.93063513542,2076.3525753794343,0.1711118472217854,1.6144756551053228,0.7150751248701255,0.213149934851323,0.9282250597214484
